Vpp,vpp,DATA,DEC ,lsb(14bit),V（mV）,V补
2,,4,4,0.00012207,0.48828125,
3,,4,4,0.00012207,0.48828125,
4,,6,6,0.00012207,0.732421875,
5,,8,8,0.00012207,0.9765625,
6,,a,10,0.00012207,1.220703125,
7,,c,12,0.00012207,1.46484375,
8,,e,14,0.00012207,1.708984375,
9,,12,18,0.00012207,2.197265625,
10,,14,20,0.00012207,2.44140625,
11,,16,22,0.00012207,2.685546875,
12,,18,24,0.00012207,2.9296875,
13,,18,24,0.00012207,2.9296875,
14,,1a,26,0.00012207,3.173828125,
15,,1c,28,0.00012207,3.41796875,
16,,1e,30,0.00012207,3.662109375,
17,,20,32,0.00012207,3.90625,
18,,22,34,0.00012207,4.150390625,
19,,24,36,0.00012207,4.39453125,
20,,24,36,0.00012207,4.39453125,
21,,28,40,0.00012207,4.8828125,
22,,28,40,0.00012207,4.8828125,
23,,2a,42,0.00012207,5.126953125,
24,,2c,44,0.00012207,5.37109375,
25,,2e,46,0.00012207,5.615234375,
26,,30,48,0.00012207,5.859375,
27,,32,50,0.00012207,6.103515625,
28,,34,52,0.00012207,6.34765625,
29,,38,56,0.00012207,6.8359375,
30,,38,56,0.00012207,6.8359375,
31,,3a,58,0.00012207,7.080078125,
32,,3a,58,0.00012207,7.080078125,
33,,3c,60,0.00012207,7.32421875,
34,,40,64,0.00012207,7.8125,
35,,40,64,0.00012207,7.8125,
36,,42,66,0.00012207,8.056640625,
37,,44,68,0.00012207,8.30078125,
38,,48,72,0.00012207,8.7890625,
39,,48,72,0.00012207,8.7890625,
40,,4a,74,0.00012207,9.033203125,
41,,4c,76,0.00012207,9.27734375,
42,,4e,78,0.00012207,9.521484375,
43,,50,80,0.00012207,9.765625,
44,,52,82,0.00012207,10.00976563,
45,,54,84,0.00012207,10.25390625,
46,,56,86,0.00012207,10.49804688,
47,,58,88,0.00012207,10.7421875,
48,,5a,90,0.00012207,10.98632813,
49,,5c,92,0.00012207,11.23046875,
50,,5e,94,0.00012207,11.47460938,
51,,60,96,0.00012207,11.71875,
52,,62,98,0.00012207,11.96289063,
53,,64,100,0.00012207,12.20703125,
54,,60,96,0.00012207,11.71875,
55,,62,98,0.00012207,11.96289063,
56,,64,100,0.00012207,12.20703125,
57,,66,102,0.00012207,12.45117188,
58,,68,104,0.00012207,12.6953125,
59,,6a,106,0.00012207,12.93945313,
60,,6c,108,0.00012207,13.18359375,
61,,6c,108,0.00012207,13.18359375,
62,,6e,110,0.00012207,13.42773438,
63,,70,112,0.00012207,13.671875,
64,,72,114,0.00012207,13.91601563,
65,,74,116,0.00012207,14.16015625,
66,,76,118,0.00012207,14.40429688,
67,,76,118,0.00012207,14.40429688,
68,,78,120,0.00012207,14.6484375,
69,,7c,124,0.00012207,15.13671875,
70,,7c,124,0.00012207,15.13671875,
71,,7e,126,0.00012207,15.38085938,
72,,80,128,0.00012207,15.625,
73,,82,130,0.00012207,15.86914063,
74,,84,132,0.00012207,16.11328125,
75,,86,134,0.00012207,16.35742188,
76,,88,136,0.00012207,16.6015625,
77,,8a,138,0.00012207,16.84570313,
78,,8c,140,0.00012207,17.08984375,
79,,8e,142,0.00012207,17.33398438,
80,,90,144,0.00012207,17.578125,
81,,92,146,0.00012207,17.82226563,
82,,94,148,0.00012207,18.06640625,
83,,94,148,0.00012207,18.06640625,
84,,98,152,0.00012207,18.5546875,
85,,98,152,0.00012207,18.5546875,
86,,9a,154,0.00012207,18.79882813,
87,,9c,156,0.00012207,19.04296875,
88,,9e,158,0.00012207,19.28710938,
89,,a0,160,0.00012207,19.53125,
90,,a2,162,0.00012207,19.77539063,
91,,a4,164,0.00012207,20.01953125,
92,,a6,166,0.00012207,20.26367188,
93,,a6,166,0.00012207,20.26367188,
94,,aa,170,0.00012207,20.75195313,
95,,ac,172,0.00012207,20.99609375,
96,,ac,172,0.00012207,20.99609375,
97,,ae,174,0.00012207,21.24023438,
98,,b0,176,0.00012207,21.484375,
99,,b2,178,0.00012207,21.72851563,
100,,b4,180,0.00012207,21.97265625,
105,,bc,188,0.00012207,22.94921875,
110,,c6,198,0.00012207,24.16992188,
115,,ce,206,0.00012207,25.14648438,
120,,d8,216,0.00012207,26.3671875,
125,,e0,224,0.00012207,27.34375,
130,,ea,234,0.00012207,28.56445313,
135,,f2,242,0.00012207,29.54101563,
140,,fc,252,0.00012207,30.76171875,
145,,104,260,0.00012207,31.73828125,
150,,10c,268,0.00012207,32.71484375,
155,,110,272,0.00012207,33.203125,
160,,11c,284,0.00012207,34.66796875,
165,,126,294,0.00012207,35.88867188,
170,,12e,302,0.00012207,36.86523438,
175,,138,312,0.00012207,38.0859375,
180,,140,320,0.00012207,39.0625,
185,,148,328,0.00012207,40.0390625,
190,,152,338,0.00012207,41.25976563,
195,,15a,346,0.00012207,42.23632813,
200,,164,356,0.00012207,43.45703125,
205,,16c,364,0.00012207,44.43359375,
210,,176,374,0.00012207,45.65429688,
215,,180,384,0.00012207,46.875,
220,,188,392,0.00012207,47.8515625,
225,,190,400,0.00012207,48.828125,
230,,19a,410,0.00012207,50.04882813,
235,,1a2,418,0.00012207,51.02539063,
240,,1ac,428,0.00012207,52.24609375,
245,,1b4,436,0.00012207,53.22265625,
250,,1be,446,0.00012207,54.44335938,
255,,1c6,454,0.00012207,55.41992188,
260,,1ce,462,0.00012207,56.39648438,
265,,1d8,472,0.00012207,57.6171875,
270,,1e0,480,0.00012207,58.59375,
275,,1ec,492,0.00012207,60.05859375,
280,,1f4,500,0.00012207,61.03515625,
300,,21a,538,0.00012207,65.67382813,
350,,274,628,0.00012207,76.66015625,
400,,2d0,720,0.00012207,87.890625,
450,,328,808,0.00012207,98.6328125,
500,,382,898,0.00012207,109.6191406,
550,,3dc,988,0.00012207,120.6054688,
600,,436,1078,0.00012207,131.5917969,
650,,48c,1164,0.00012207,142.0898438,
700,,4e6,1254,0.00012207,153.0761719,
800,512,59a,1434,0.00012207,175.0488281,
900,,64e,1614,0.00012207,197.0214844,
1000,,704,1796,0.00012207,219.2382813,
1100,,7b4,1972,0.00012207,240.7226563,
1200,,868,2152,0.00012207,262.6953125,
1300,,912,2322,0.00012207,283.4472656,
1400,,9c4,2500,0.00012207,305.1757813,
1500,,a7a,2682,0.00012207,327.3925781,
1600,,b2a,2858,0.00012207,348.8769531,
1700,,bdc,3036,0.00012207,370.6054688,
1800,,c90,3216,0.00012207,392.578125,
1900,,d40,3392,0.00012207,414.0625,
2000,,df2,3570,0.00012207,435.7910156,
2200,,f54,3924,0.00012207,479.0039063,
2400,,10ba,4282,0.00012207,522.7050781,
2600,,121a,4634,0.00012207,565.6738281,
2800,,137a,4986,0.00012207,608.6425781,
3000,,14e0,5344,0.00012207,652.34375,
3200,,1642,5698,0.00012207,695.5566406,
3400,,17a4,6052,0.00012207,738.7695313,
3600,,1908,6408,0.00012207,782.2265625,
3800,,1960,6496,0.00012207,792.96875,
4000,,19a4,6564,0.00012207,801.2695313,
4200,,1d20,7456,0.00012207,910.15625,
4250,,1d7a,7546,0.00012207,921.1425781,
4300,,1dd4,7636,0.00012207,932.1289063,
4350,,1e2c,7724,0.00012207,942.8710938,
4400,,1e84,7812,0.00012207,953.6132813,
4450,,1edc,7900,0.00012207,964.3554688,
