前 128 个点的 FFT 结果:
第 0 个点: 0, s3 实部: 134199958.000000, s3 虚部: 0.000000, s3 取模: 8190.915405, s3 相位: 0.000000, s4 实部: 134201341.000000, s4 虚部: 0.000000, s4 取模: 8190.999817, s4 相位: 0.000000, 相位差: 0.000000
第 1 个点: 1, s3 实部: -1335.587469, s3 虚部: 0.134867, s3 取模: 0.163036, s3 相位: 3.141492, s4 实部: 7.109726, s4 虚部: 0.130785, s4 取模: 0.000868, s4 相位: 0.018393, 相位差: 3.123099
第 2 个点: 2, s3 实部: -1335.586781, s3 虚部: 0.269856, s3 取模: 0.163035, s3 相位: 3.141391, s4 实部: 7.194378, s4 虚部: 0.268508, s4 取模: 0.000879, s4 相位: 0.037305, 相位差: 3.104086
第 3 个点: 3, s3 实部: -1335.585551, s3 虚部: 0.405098, s3 取模: 0.163035, s3 相位: 3.141289, s4 实部: 7.345884, s4 虚部: 0.421743, s4 取模: 0.000898, s4 相位: 0.057349, 相位差: 3.083940
第 4 个点: 4, s3 实部: -1335.583583, s3 虚部: 0.540744, s3 取模: 0.163035, s3 相位: 3.141188, s4 实部: 7.583561, s4 虚部: 0.603150, s4 取模: 0.000929, s4 相位: 0.079367, 相位差: 3.061821
第 5 个点: 5, s3 实部: -1335.580380, s3 虚部: 0.677005, s3 取模: 0.163035, s3 相位: 3.141086, s4 实部: 7.944578, s4 虚部: 0.834335, s4 取模: 0.000975, s4 相位: 0.104636, 相位差: 3.036450
第 6 个点: 6, s3 实部: -1335.574681, s3 虚部: 0.814269, s3 取模: 0.163034, s3 相位: 3.140983, s4 实部: 8.504334, s4 虚部: 1.157542, s4 取模: 0.001048, s4 相位: 0.135281, 相位差: 3.005702
第 7 个点: 7, s3 实部: -1335.562983, s3 虚部: 0.953466, s3 取模: 0.163033, s3 相位: 3.140879, s4 实部: 9.436876, s4 虚部: 1.669934, s4 取模: 0.001170, s4 相位: 0.175145, 相位差: 2.965734
第 8 个点: 8, s3 实部: -1335.533648, s3 虚部: 1.097604, s3 取模: 0.163029, s3 相位: 3.140771, s4 实部: 11.249527, s4 虚部: 2.656606, s4 取模: 0.001411, s4 相位: 0.231904, 相位差: 2.908867
第 9 个点: 9, s3 实部: -1335.427688, s3 虚部: 1.262111, s3 取模: 0.163016, s3 相位: 3.140648, s4 实部: 16.317527, s4 虚部: 5.461349, s4 取模: 0.002100, s4 相位: 0.322973, 相位差: 2.817675
第 10 个点: 10, s3 实部: -1332.232552, s3 虚部: 2.244939, s3 取模: 0.162626, s3 相位: 3.139908, s4 实部: 142.061080, s4 虚部: 76.728270, s4 取模: 0.019709, s4 相位: 0.495217, 相位差: 2.644691
第 11 个点: 11, s3 实部: -1336.082617, s3 虚部: 1.359537, s3 取模: 0.163096, s3 相位: 3.140575, s4 实部: -5.965306, s4 虚部: -7.450029, s4 取模: 0.001165, s4 相位: -2.245969, 相位差: 5.386545
第 12 个点: 12, s3 实部: -1335.983127, s3 虚部: 1.518282, s3 取模: 0.163084, s3 相位: 3.140456, s4 实部: 0.630601, s4 虚部: -3.921987, s4 取模: 0.000485, s4 相位: -1.411375, 相位差: 4.551831
第 13 个点: 13, s3 实部: -1336.026553, s3 虚部: 1.634065, s3 取模: 0.163089, s3 相位: 3.140370, s4 实部: 2.931476, s4 虚部: -2.916728, s4 取模: 0.000505, s4 相位: -0.782876, 相位差: 3.923246
第 14 个点: 14, s3 实部: -1336.145330, s3 虚部: 1.720095, s3 取模: 0.163104, s3 相位: 3.140305, s4 实部: 4.315169, s4 虚部: -2.555708, s4 取模: 0.000612, s4 相位: -0.534710, 相位差: 3.675015
第 15 个点: 15, s3 实部: -1336.356979, s3 虚部: 1.762607, s3 取模: 0.163130, s3 相位: 3.140274, s4 实部: 5.463072, s4 虚部: -2.520863, s4 取模: 0.000734, s4 相位: -0.432324, 相位差: 3.572598
第 16 个点: 16, s3 实部: -1336.723720, s3 虚部: 1.725947, s3 取模: 0.163174, s3 相位: 3.140301, s4 实部: 6.688957, s4 虚部: -2.768290, s4 取模: 0.000884, s4 相位: -0.392397, 相位差: 3.532698
第 17 个点: 17, s3 实部: -1337.398917, s3 虚部: 1.523804, s3 取模: 0.163257, s3 相位: 3.140453, s4 实部: 8.329222, s4 虚部: -3.409662, s4 取模: 0.001099, s4 相位: -0.388550, 相位差: 3.529004
第 18 个点: 18, s3 实部: -1338.830444, s3 虚部: 0.902857, s3 取模: 0.163431, s3 相位: 3.140918, s4 实部: 11.138022, s4 虚部: -4.875817, s4 取模: 0.001484, s4 相位: -0.412631, 相位差: 3.553550
第 19 个点: 19, s3 实部: -1343.024178, s3 虚部: -1.277464, s3 取模: 0.163943, s3 相位: -3.140641, s4 实部: 18.286356, s4 虚部: -9.166559, s4 取模: 0.002497, s4 相位: -0.464670, 相位差: -2.675971
第 20 个点: 20, s3 实部: -1400.816458, s3 虚部: -33.993288, s3 取模: 0.171048, s3 相位: -3.117331, s4 实部: 109.183376, s4 虚部: -67.070291, s4 取模: 0.015642, s4 相位: -0.550861, 相位差: -2.566470
第 21 个点: 21, s3 实部: -1319.487178, s3 虚部: 12.625175, s3 取模: 0.161078, s3 相位: 3.132025, s4 实部: -17.038362, s4 虚部: 13.921560, s4 取模: 0.002686, s4 相位: 2.456529, 相位差: 0.675496
第 22 个点: 22, s3 实部: -1326.360382, s3 虚部: 8.996049, s3 取模: 0.161913, s3 相位: 3.134810, s4 实部: -5.393467, s4 虚部: 6.696803, s4 取模: 0.001050, s4 相位: 2.248809, 相位差: 0.886001
第 23 个点: 23, s3 实部: -1327.990071, s3 虚部: 8.403342, s3 取模: 0.162111, s3 相位: 3.135265, s4 实部: -1.713218, s4 虚部: 4.566703, s4 取模: 0.000595, s4 相位: 1.929702, 相位差: 1.205563
第 24 个点: 24, s3 实部: -1328.342973, s3 虚部: 8.607218, s3 取模: 0.162155, s3 相位: 3.135113, s4 实部: 0.309497, s4 虚部: 3.503535, s4 取模: 0.000429, s4 相位: 1.482686, 相位差: 1.652427
第 25 个点: 25, s3 实部: -1328.024577, s3 虚部: 9.299840, s3 取模: 0.162116, s3 相位: 3.134590, s4 实部: 1.816401, s4 虚部: 2.785698, s4 取模: 0.000406, s4 相位: 0.992985, 相位差: 2.141605
第 26 个点: 26, s3 实部: -1327.082554, s3 虚部: 10.525629, s3 取模: 0.162002, s3 相位: 3.133661, s4 实部: 3.259116, s4 虚部: 2.136863, s4 取模: 0.000476, s4 相位: 0.580342, 相位差: 2.553319
第 27 个点: 27, s3 实部: -1325.228569, s3 虚部: 12.607084, s3 取模: 0.161778, s3 相位: 3.132080, s4 实部: 5.024118, s4 虚部: 1.332227, s4 取模: 0.000634, s4 相位: 0.259201, 相位差: 2.872879
